#Timestamp: 2015-10-20-22-9-1
#ExpNumber: 3
#MatrixName: hiddenM
#Dimension: 100*30
#Latent: 30
#RatingRange: 0.00-10.00
0.217,0.268,0.298,0.008,0.320,0.202,0.532,0.443,0.047,0.236,0.438,0.451,0.060,0.091,0.230,0.110,0.327,0.000,0.507,0.237,0.525,0.513,0.200,0.341,0.077,0.082,0.176,0.559,0.153,0.418
0.365,0.032,0.551,0.438,0.511,0.462,0.558,0.294,0.493,0.022,0.063,0.323,0.389,0.011,0.443,0.232,0.152,0.251,0.008,0.363,0.041,0.548,0.541,0.191,0.115,0.520,0.481,0.386,0.449,0.448
0.118,0.196,0.251,0.330,0.243,0.153,0.278,0.373,0.147,0.112,0.078,0.256,0.070,0.081,0.536,0.124,0.525,0.365,0.178,0.231,0.364,0.249,0.377,0.397,0.519,0.379,0.017,0.013,0.530,0.134
0.075,0.066,0.224,0.080,0.055,0.124,0.006,0.437,0.069,0.317,0.037,0.159,0.175,0.220,0.173,0.016,0.170,0.086,0.255,0.114,0.529,0.080,0.449,0.222,0.422,0.041,0.290,0.394,0.345,0.315
0.179,0.107,0.169,0.297,0.564,0.151,0.355,0.196,0.572,0.524,0.468,0.505,0.469,0.062,0.175,0.365,0.372,0.380,0.381,0.460,0.289,0.516,0.329,0.383,0.553,0.068,0.127,0.456,0.352,0.208
0.279,0.034,0.535,0.380,0.444,0.106,0.258,0.400,0.055,0.054,0.378,0.075,0.033,0.515,0.568,0.328,0.078,0.222,0.437,0.051,0.203,0.532,0.326,0.181,0.495,0.365,0.538,0.551,0.399,0.140
0.235,0.540,0.196,0.496,0.115,0.382,0.547,0.236,0.305,0.369,0.441,0.207,0.482,0.169,0.103,0.151,0.158,0.061,0.196,0.003,0.432,0.398,0.017,0.257,0.083,0.399,0.264,0.102,0.186,0.554
0.419,0.001,0.481,0.225,0.121,0.306,0.264,0.199,0.217,0.345,0.225,0.532,0.303,0.485,0.128,0.496,0.431,0.146,0.389,0.491,0.190,0.100,0.003,0.303,0.250,0.283,0.334,0.361,0.144,0.527
0.230,0.265,0.201,0.436,0.554,0.226,0.098,0.356,0.049,0.310,0.046,0.027,0.513,0.263,0.429,0.406,0.136,0.039,0.559,0.050,0.218,0.315,0.363,0.048,0.277,0.118,0.236,0.476,0.432,0.202
0.211,0.016,0.366,0.538,0.464,0.133,0.430,0.120,0.187,0.480,0.507,0.059,0.412,0.242,0.267,0.246,0.300,0.020,0.417,0.091,0.356,0.243,0.538,0.211,0.191,0.521,0.276,0.196,0.149,0.126
0.148,0.306,0.380,0.324,0.476,0.160,0.146,0.508,0.475,0.534,0.097,0.528,0.320,0.436,0.313,0.434,0.354,0.245,0.502,0.539,0.279,0.309,0.088,0.314,0.239,0.205,0.408,0.574,0.135,0.329
0.220,0.328,0.343,0.367,0.575,0.482,0.355,0.134,0.090,0.255,0.531,0.094,0.507,0.165,0.391,0.190,0.401,0.374,0.091,0.179,0.434,0.205,0.120,0.286,0.569,0.171,0.565,0.126,0.361,0.089
0.513,0.488,0.027,0.413,0.376,0.400,0.174,0.068,0.560,0.110,0.464,0.232,0.073,0.388,0.414,0.144,0.518,0.439,0.573,0.317,0.114,0.062,0.465,0.263,0.513,0.491,0.382,0.213,0.014,0.061
0.445,0.400,0.044,0.029,0.132,0.171,0.150,0.138,0.134,0.407,0.093,0.269,0.260,0.210,0.227,0.140,0.483,0.307,0.162,0.186,0.324,0.483,0.005,0.319,0.507,0.101,0.074,0.035,0.314,0.032
