#Timestamp: 2015-10-11-0-56-8
#ExpNumber: 0
#MatrixName: hiddenN
#Dimension: 13*100
#Latent: 13
#RatingRange: 0.00-10.00
0.365,0.501,0.813,0.439,0.471,0.381,0.313,0.468,0.447,0.076,0.409,0.318,0.850,0.017,0.800,0.414,0.814,0.074,0.280,0.805,0.187,0.811,0.800,0.458,0.074,0.563,0.513,0.063,0.841,0.461,0.589,0.420,0.080,0.650,0.581,0.834,0.060,0.420,0.567,0.701,0.831,0.273,0.777,0.410,0.575,0.603,0.477,0.030,0.493,0.096,0.144,0.177,0.408,0.009,0.746,0.452,0.532,0.774,0.680,0.546,0.665,0.032,0.124,0.208,0.622,0.660,0.789,0.307,0.285,0.241,0.669,0.765,0.811,0.651,0.350,0.252,0.206,0.724,0.823,0.139,0.261,0.875,0.554,0.528,0.156,0.222,0.140,0.608,0.411,0.762,0.584,0.525,0.578,0.648,0.312,0.284,0.421,0.253,0.444,0.835
0.287,0.682,0.649,0.728,0.246,0.060,0.258,0.717,0.678,0.407,0.622,0.377,0.246,0.185,0.264,0.706,0.044,0.396,0.421,0.426,0.376,0.044,0.329,0.012,0.566,0.507,0.638,0.340,0.541,0.623,0.354,0.092,0.550,0.052,0.033,0.105,0.867,0.074,0.842,0.206,0.373,0.730,0.007,0.031,0.210,0.330,0.280,0.176,0.569,0.588,0.732,0.658,0.747,0.520,0.603,0.054,0.365,0.595,0.183,0.308,0.491,0.089,0.381,0.732,0.371,0.407,0.170,0.419,0.380,0.702,0.767,0.050,0.354,0.112,0.379,0.719,0.734,0.651,0.768,0.728,0.709,0.797,0.207,0.709,0.603,0.067,0.837,0.528,0.189,0.020,0.812,0.407,0.469,0.523,0.500,0.731,0.533,0.051,0.750,0.043
0.181,0.614,0.775,0.845,0.523,0.444,0.641,0.541,0.743,0.299,0.804,0.441,0.082,0.827,0.204,0.219,0.425,0.676,0.386,0.054,0.473,0.103,0.660,0.681,0.497,0.517,0.264,0.344,0.464,0.612,0.212,0.470,0.524,0.646,0.689,0.056,0.848,0.710,0.580,0.008,0.263,0.529,0.807,0.207,0.700,0.837,0.535,0.090,0.413,0.749,0.041,0.535,0.505,0.214,0.049,0.616,0.591,0.664,0.139,0.805,0.019,0.477,0.216,0.245,0.185,0.820,0.519,0.694,0.011,0.409,0.466,0.696,0.466,0.217,0.747,0.206,0.632,0.587,0.392,0.805,0.544,0.572,0.417,0.818,0.599,0.244,0.599,0.098,0.739,0.664,0.835,0.779,0.383,0.791,0.304,0.544,0.524,0.550,0.306,0.051
0.051,0.228,0.111,0.101,0.650,0.544,0.814,0.761,0.278,0.270,0.128,0.648,0.729,0.481,0.664,0.277,0.359,0.607,0.618,0.570,0.634,0.275,0.198,0.154,0.118,0.420,0.250,0.067,0.794,0.861,0.008,0.579,0.654,0.592,0.780,0.851,0.662,0.817,0.641,0.070,0.678,0.719,0.269,0.229,0.032,0.125,0.842,0.112,0.708,0.001,0.305,0.396,0.260,0.819,0.369,0.794,0.249,0.756,0.844,0.394,0.272,0.725,0.441,0.178,0.285,0.142,0.511,0.214,0.056,0.371,0.393,0.754,0.460,0.052,0.293,0.773,0.003,0.417,0.397,0.042,0.353,0.468,0.554,0.104,0.688,0.706,0.817,0.255,0.102,0.803,0.347,0.340,0.790,0.839,0.070,0.298,0.471,0.401,0.499,0.310
0.648,0.009,0.489,0.327,0.717,0.618,0.703,0.545,0.866,0.733,0.220,0.430,0.319,0.386,0.603,0.102,0.466,0.243,0.731,0.390,0.726,0.325,0.159,0.437,0.076,0.316,0.667,0.382,0.029,0.714,0.642,0.075,0.515,0.635,0.093,0.465,0.653,0.012,0.160,0.669,0.100,0.108,0.734,0.675,0.003,0.507,0.663,0.100,0.466,0.248,0.277,0.138,0.552,0.025,0.368,0.790,0.317,0.575,0.712,0.649,0.442,0.366,0.248,0.540,0.578,0.432,0.096,0.598,0.595,0.364,0.523,0.108,0.440,0.380,0.784,0.230,0.152,0.612,0.295,0.072,0.401,0.261,0.434,0.819,0.825,0.562,0.035,0.607,0.570,0.674,0.206,0.120,0.375,0.830,0.686,0.550,0.545,0.490,0.380,0.083
0.467,0.537,0.067,0.105,0.605,0.333,0.557,0.210,0.790,0.717,0.584,0.416,0.273,0.611,0.661,0.178,0.475,0.211,0.642,0.479,0.446,0.827,0.245,0.285,0.268,0.421,0.189,0.015,0.124,0.056,0.247,0.289,0.127,0.118,0.849,0.332,0.388,0.409,0.056,0.808,0.438,0.772,0.465,0.700,0.815,0.256,0.871,0.518,0.147,0.083,0.636,0.559,0.544,0.135,0.524,0.787,0.723,0.286,0.387,0.067,0.173,0.613,0.342,0.578,0.432,0.603,0.052,0.565,0.582,0.530,0.337,0.614,0.446,0.043,0.495,0.004,0.452,0.667,0.877,0.195,0.005,0.410,0.570,0.676,0.819,0.680,0.761,0.498,0.148,0.483,0.486,0.602,0.129,0.772,0.072,0.217,0.750,0.562,0.831,0.288
0.164,0.186,0.441,0.656,0.040,0.230,0.823,0.255,0.669,0.066,0.823,0.633,0.342,0.551,0.843,0.653,0.716,0.051,0.116,0.656,0.261,0.825,0.788,0.329,0.820,0.031,0.501,0.081,0.707,0.498,0.306,0.763,0.780,0.576,0.009,0.120,0.768,0.578,0.817,0.159,0.296,0.072,0.393,0.229,0.106,0.584,0.744,0.451,0.574,0.863,0.496,0.532,0.186,0.072,0.166,0.766,0.263,0.173,0.199,0.489,0.222,0.478,0.298,0.255,0.390,0.203,0.100,0.208,0.158,0.399,0.555,0.758,0.618,0.138,0.202,0.335,0.835,0.008,0.513,0.617,0.585,0.642,0.873,0.399,0.674,0.192,0.654,0.765,0.832,0.740,0.399,0.226,0.663,0.762,0.758,0.656,0.515,0.508,0.738,0.488
0.039,0.198,0.754,0.679,0.603,0.049,0.110,0.117,0.204,0.136,0.585,0.483,0.356,0.298,0.149,0.117,0.820,0.594,0.277,0.259,0.345,0.294,0.219,0.138,0.381,0.377,0.132,0.292,0.225,0.404,0.299,0.375,0.491,0.095,0.006,0.437,0.416,0.874,0.180,0.510,0.031,0.090,0.134,0.073,0.157,0.060,0.856,0.156,0.052,0.876,0.684,0.229,0.247,0.180,0.183,0.547,0.008,0.551,0.728,0.546,0.826,0.105,0.138,0.072,0.029,0.662,0.530,0.415,0.649,0.118,0.724,0.221,0.161,0.109,0.547,0.235,0.354,0.141,0.254,0.194,0.423,0.556,0.785,0.159,0.781,0.694,0.789,0.408,0.209,0.017,0.758,0.269,0.809,0.174,0.584,0.287,0.760,0.146,0.517,0.300
0.511,0.046,0.572,0.302,0.092,0.084,0.381,0.844,0.576,0.009,0.668,0.340,0.302,0.521,0.868,0.664,0.238,0.509,0.530,0.863,0.430,0.141,0.041,0.715,0.002,0.226,0.353,0.106,0.782,0.744,0.440,0.304,0.798,0.237,0.137,0.645,0.463,0.286,0.822,0.100,0.455,0.015,0.837,0.338,0.347,0.809,0.784,0.278,0.582,0.675,0.398,0.586,0.176,0.213,0.484,0.598,0.858,0.036,0.689,0.843,0.364,0.522,0.229,0.457,0.475,0.456,0.439,0.114,0.779,0.664,0.325,0.303,0.809,0.544,0.444,0.756,0.324,0.655,0.746,0.533,0.002,0.022,0.730,0.572,0.312,0.273,0.268,0.660,0.790,0.028,0.331,0.438,0.467,0.627,0.499,0.238,0.079,0.464,0.247,0.390
0.114,0.635,0.133,0.039,0.140,0.388,0.410,0.417,0.537,0.156,0.588,0.651,0.711,0.682,0.876,0.202,0.110,0.396,0.567,0.583,0.231,0.656,0.198,0.705,0.674,0.848,0.376,0.861,0.676,0.332,0.221,0.823,0.006,0.171,0.087,0.255,0.790,0.008,0.532,0.463,0.097,0.771,0.592,0.664,0.577,0.127,0.139,0.452,0.452,0.365,0.626,0.497,0.524,0.201,0.164,0.075,0.840,0.584,0.519,0.547,0.803,0.411,0.262,0.248,0.221,0.180,0.500,0.728,0.250,0.355,0.232,0.231,0.828,0.588,0.201,0.290,0.692,0.631,0.044,0.501,0.074,0.815,0.493,0.422,0.107,0.207,0.668,0.617,0.122,0.174,0.064,0.083,0.713,0.306,0.595,0.505,0.240,0.201,0.048,0.837
