#Timestamp: 2015-10-11-0-56-8
#ExpNumber: 0
#MatrixName: hiddenM
#Dimension: 100*13
#Latent: 13
#RatingRange: 0.00-10.00
0.845,0.694,0.799,0.623,0.219,0.004,0.755,0.493,0.485,0.650,0.169,0.398,0.051
0.142,0.849,0.617,0.673,0.009,0.391,0.069,0.086,0.151,0.146,0.008,0.122,0.840
0.455,0.719,0.795,0.021,0.033,0.388,0.668,0.805,0.200,0.791,0.668,0.542,0.309
0.678,0.235,0.437,0.120,0.792,0.801,0.680,0.582,0.369,0.161,0.632,0.455,0.090
0.181,0.848,0.824,0.345,0.700,0.157,0.789,0.060,0.746,0.459,0.312,0.036,0.585
0.709,0.544,0.145,0.714,0.316,0.864,0.031,0.479,0.857,0.759,0.530,0.031,0.498
0.455,0.866,0.283,0.007,0.344,0.243,0.464,0.085,0.520,0.533,0.031,0.726,0.812
0.424,0.747,0.389,0.803,0.806,0.719,0.355,0.128,0.002,0.531,0.199,0.804,0.377
0.016,0.346,0.153,0.522,0.677,0.616,0.553,0.605,0.142,0.036,0.648,0.739,0.523
0.047,0.479,0.638,0.265,0.160,0.148,0.549,0.733,0.080,0.573,0.792,0.428,0.788
0.554,0.521,0.131,0.237,0.507,0.863,0.449,0.206,0.269,0.137,0.290,0.353,0.533
0.064,0.107,0.831,0.735,0.322,0.685,0.411,0.684,0.822,0.501,0.320,0.651,0.227
0.050,0.017,0.814,0.549,0.730,0.171,0.535,0.431,0.793,0.678,0.631,0.475,0.410
0.044,0.868,0.536,0.059,0.143,0.537,0.291,0.724,0.747,0.818,0.081,0.585,0.780
0.664,0.546,0.642,0.543,0.128,0.391,0.334,0.345,0.214,0.082,0.443,0.607,0.712
0.809,0.232,0.792,0.308,0.799,0.190,0.641,0.465,0.784,0.368,0.496,0.358,0.116
0.433,0.034,0.165,0.405,0.223,0.781,0.851,0.232,0.611,0.424,0.040,0.460,0.784
0.609,0.080,0.761,0.235,0.130,0.209,0.250,0.625,0.099,0.237,0.202,0.581,0.544
0.479,0.658,0.627,0.460,0.455,0.686,0.235,0.520,0.566,0.239,0.126,0.650,0.837
0.299,0.207,0.012,0.066,0.670,0.742,0.562,0.690,0.038,0.517,0.131,0.862,0.689
0.069,0.012,0.112,0.075,0.416,0.558,0.451,0.058,0.588,0.118,0.604,0.140,0.573
0.414,0.807,0.541,0.547,0.619,0.502,0.469,0.342,0.289,0.287,0.177,0.005,0.331
0.610,0.439,0.780,0.478,0.077,0.691,0.611,0.369,0.195,0.153,0.140,0.369,0.850
0.170,0.100,0.068,0.422,0.242,0.413,0.662,0.361,0.494,0.423,0.175,0.049,0.575
0.113,0.037,0.210,0.324,0.477,0.766,0.810,0.427,0.359,0.424,0.081,0.141,0.348
0.683,0.297,0.700,0.755,0.142,0.152,0.665,0.870,0.673,0.384,0.128,0.113,0.074
